Timestamp,Temperature,Humidity,Pressure,Light_Level,Motion_Detected,Battery_Level,Sensor_ID,Location,Alert_Status
2024-01-01 00:00:00,18.659357497610163,44.4627601544235,1033.7602778728567,1.0046000941569462,0,99.78768115761679,S005,Office,Normal
2024-01-01 00:10:00,19.50895238049452,58.32986366403083,1011.3648255871169,25.86371827771511,0,98.37400830511727,S005,Warehouse,Normal
2024-01-01 00:20:00,25.092879101377186,41.31611280878522,996.9306436398326,129.2965802415642,0,96.31988505225588,S002,Reception,Normal
2024-01-01 00:30:00,24.843461239400842,72.65764860062598,1027.5648056942136,52.075499267889825,0,97.68869557690438,S003,Office,Normal
2024-01-01 00:40:00,28.752547406379698,55.84381136201805,1002.4592444182541,66.93448461620928,0,96.67894915452516,S001,Lab,Normal
2024-01-01 00:50:00,30.147942663970024,43.398344001281515,1004.7093301718785,42.20650513851711,0,99.64534097853681,S001,Lab,Warning
2024-01-01 01:00:00,23.509831059027277,76.98382584166055,962.7883801400898,19.44553268402888,0,96.56190725679186,S002,Warehouse,Normal
2024-01-01 01:10:00,24.24741588330194,74.67138439448775,1023.1763586515544,113.70728306491063,0,99.99649436639677,S003,Warehouse,Normal
2024-01-01 01:20:00,20.27094441516201,35.44438662382336,1016.2259587943014,26.57244332934996,0,98.21460774585529,S002,Warehouse,Warning
2024-01-01 01:30:00,20.423845851438475,26.508037461695892,1015.8189822274164,157.54871322638965,0,99.6471305556574,S002,Warehouse,Normal
2024-01-01 01:40:00,11.920143272555993,72.12362484959803,1009.6989074894967,152.12096536186965,0,98.4784318059253,S004,Lab,Normal
2024-01-01 01:50:00,16.34884381667969,87.31344852735582,1021.8234793921937,57.39211738324068,0,99.88029521276009,S003,Warehouse,Normal
2024-01-01 02:00:00,16.440769671540323,47.77578695632637,1000.0514779334711,19.68256797396436,0,99.87581293840472,S005,Office,Normal
2024-01-01 02:10:00,23.18925554600146,42.87947620575187,978.7355425443452,67.05431669189052,0,97.15411945017505,S005,Reception,Normal
2024-01-01 02:20:00,20.374351665536143,85.60166616013414,991.3938541849295,211.77250345044095,0,99.9407380550351,S001,Lab,Normal
